id,value,rate,,,rate1,,
BoxOffice.2002.Crime,335119726,2.4,,,7.6,3.4,15.3
BoxOffice.2002.Drama,227965690,1.8,,,6.7,2.5,11.25
BoxOffice.2002.Family,503408042,1.8,,,7,2.8,12.6
BoxOffice.2002.Sci-Fi,227965690,1.8,,,6.7,2.5,11.25
BoxOffice.2003.Action,1866062531,1.8,,,7,2.8,12.6
BoxOffice.2003.Adventure,1278195587,2.4,,,8.183333333,3.983333333,17.925
BoxOffice.2003.Animation,380838870,2.4,,,8.2,4,18
BoxOffice.2003.Comedy,817573113,1.8,,,6.5625,2.3625,10.63125
BoxOffice.2003.Crime,127083765,1.2,,,5.9,1.7,7.65
BoxOffice.2003.Drama,367180540,1.8,,,6.7,2.5,11.25
BoxOffice.2003.Family,311995949,1.2,,,6.35,2.15,9.675
BoxOffice.2003.Sci-Fi,703225425,1.8,,,6.5,2.3,10.35
BoxOffice.2004.Action,328755684,2.4,,,8.033333333,3.833333333,17.25
BoxOffice.2004.Adventure,515506760,2.4,,,8,3.8,17.1
BoxOffice.2004.Animation,4710455,2.4,,,8.2,4,18
BoxOffice.2004.Biography,7588285,2.4,,,8.2,4,18
BoxOffice.2004.Comedy,13464388,2.4,,,8,3.8,17.1
BoxOffice.2004.Crime,120765268,2.4,,,7.95,3.75,16.875
BoxOffice.2004.Drama,233686247,2.4,,,8.064285714,3.864285714,17.38928571
BoxOffice.2004.Family,249358727,2.4,,,7.8,3.6,16.2
BoxOffice.2004.Fantasy,34126138,2.4,,,8.3,4.1,18.45
BoxOffice.2004.History,23472900,2.4,,,8.1,3.9,17.55
BoxOffice.2004.Horror,13464388,2.4,,,8,3.8,17.1
BoxOffice.2004.Music,3629758,2.4,,,7.9,3.7,16.65
BoxOffice.2004.Musical,2921738,2.4,,,7.9,3.7,16.65
BoxOffice.2004.Romance,5857108,2.4,,,7.95,3.75,16.875
BoxOffice.2004.Sport,100422786,2.4,,,8.1,3.9,17.55
BoxOffice.2005.Action,1103000572,1.8,,,7.02,2.82,12.69
BoxOffice.2005.Adventure,2282813556,1.8,,,7.185714286,2.985714286,13.43571429
BoxOffice.2005.Animation,456718238,1.2,,,6.333333333,2.133333333,9.6
BoxOffice.2005.Biography,119518352,2.4,,,7.9,3.7,16.65
BoxOffice.2005.Comedy,951822324,1.2,,,6.3,2.1,9.45
BoxOffice.2005.Crime,268447768,1.2,,,6.25,2.05,9.225
BoxOffice.2005.Drama,119518352,2.4,,,7.9,3.7,16.65
BoxOffice.2005.Family,581704242,1.8,,,7.25,3.05,13.725
BoxOffice.2005.Romance,177575142,1.8,,,6.6,2.4,10.8
BoxOffice.2005.Sci-Fi,234277056,1.8,,,6.5,2.3,10.35
BoxOffice.2006.Action,1752257951,1.8,,,6.875,2.675,12.0375
BoxOffice.2006.Adventure,2003116685,1.8,,,6.957142857,2.757142857,12.40714286
BoxOffice.2006.Animation,597064938,1.8,,,6.75,2.55,11.475
